---------------------------------------------------------------------------------------------------
File dibuat pada : 16/07 09:40:52
FORMAT ISI FILE INI
[waktu] (dibuka berapa kali) | (jarak tutup) | (kapasitas)
--> [2023-08-02T09:56:05.939Z] opened in: 1 | distance: 338 Cm | capacity: 7 %
--> [2023-08-02T09:57:20.344Z] opened in: 1 | distance: 338 Cm | capacity: 7 %
--> [2023-08-02T09:59:31.085Z] opened in: 1 | distance: 338 Cm | capacity: 7 %
--> [2023-08-02T10:00:40.750Z] opened in: 1 | distance: 338 Cm | capacity: 7 %
--> [2023-08-02T10:02:10.984Z] opened in: 1 | distance: 338 Cm | capacity: 7 %
--> [2023-08-02T10:04:40.425Z] opened in: 1 | distance: 338 Cm | capacity: 7 %
--> [2023-08-02T10:08:00.408Z] opened in: 1 | distance: 338 Cm | capacity: 7 %
--> [2023-08-02T10:09:55.409Z] opened in: 1 | distance: 338 Cm | capacity: 7 %
--> [2023-08-02T10:11:25.322Z] opened in: 1 | distance: 338 Cm | capacity: 7 %
--> [2023-08-02T10:16:16.123Z] opened in: 1 | distance: 338 Cm | capacity: 7 %
--> [2023-08-02T10:17:40.409Z] opened in: 1 | distance: 338 Cm | capacity: 7 %
--> [2023-08-02T10:18:00.828Z] opened in: 1 | distance: 338 Cm | capacity: 7 %
--> [2023-08-02T10:19:30.162Z] opened in: 1 | distance: 338 Cm | capacity: 7 %
--> [2023-08-02T10:21:00.297Z] opened in: 1 | distance: 338 Cm | capacity: 7 %
--> [2023-08-02T10:23:00.565Z] opened in: 1 | distance: 338 Cm | capacity: 7 %
--> [2023-08-02T10:26:51.046Z] opened in: 1 | distance: 338 Cm | capacity: 7 %
--> [2023-08-02T10:31:56.082Z] opened in: 1 | distance: 338 Cm | capacity: 7 %
--> [2023-08-02T10:35:55.460Z] opened in: 1 | distance: 338 Cm | capacity: 7 %
--> [2023-08-02T10:39:05.652Z] opened in: 1 | distance: 338 Cm | capacity: 7 %
--> [2023-08-02T10:40:40.870Z] opened in: 1 | distance: 338 Cm | capacity: 7 %
--> [2023-08-02T10:41:20.153Z] opened in: 1 | distance: 338 Cm | capacity: 7 %
--> [2023-08-02T10:50:15.448Z] opened in: 1 | distance: 338 Cm | capacity: 7 %
--> [2023-08-02T10:53:10.596Z] opened in: 1 | distance: 338 Cm | capacity: 7 %
--> [2023-08-02T10:55:10.424Z] opened in: 1 | distance: 338 Cm | capacity: 7 %
--> [2023-08-02T10:57:00.324Z] opened in: 1 | distance: 338 Cm | capacity: 7 %
--> [2023-08-02T10:58:45.884Z] opened in: 1 | distance: 338 Cm | capacity: 7 %
--> [2023-08-02T10:59:35.440Z] opened in: 1 | distance: 338 Cm | capacity: 7 %
--> [2023-08-02T11:01:45.792Z] opened in: 1 | distance: 338 Cm | capacity: 7 %
--> [2023-08-02T11:03:20.845Z] opened in: 1 | distance: 338 Cm | capacity: 7 %
--> [2023-08-02T11:05:10.857Z] opened in: 1 | distance: 338 Cm | capacity: 7 %
--> [2023-08-02T11:05:30.923Z] opened in: 1 | distance: 338 Cm | capacity: 7 %
--> [2023-08-02T11:07:10.778Z] opened in: 1 | distance: 338 Cm | capacity: 7 %
--> [2023-08-02T11:08:05.590Z] opened in: 1 | distance: 338 Cm | capacity: 7 %
--> [2023-08-02T11:09:15.139Z] opened in: 1 | distance: 338 Cm | capacity: 7 %
--> [2023-08-03T05:14:40.555Z] opened in: 1 | distance: 338 Cm | capacity: 7 %
--> [2023-08-03T05:28:00.824Z] opened in: 1 | distance: 338 Cm | capacity: 7 %
--> [2023-08-03T05:30:30.379Z] opened in: 1 | distance: 338 Cm | capacity: 7 %
--> [2023-08-03T05:31:45.829Z] opened in: 1 | distance: 338 Cm | capacity: 7 %
--> [2023-08-03T05:39:30.149Z] opened in: 1 | distance: 338 Cm | capacity: 7 %
--> [2023-08-03T10:17:35.323Z] opened in: 1 | distance: 338 Cm | capacity: 7 %
--> [2023-08-03T10:20:45.502Z] opened in: 1 | distance: 338 Cm | capacity: 7 %
--> [2023-08-03T10:21:40.665Z] opened in: 1 | distance: 338 Cm | capacity: 7 %
--> [2023-08-03T10:24:35.351Z] opened in: 1 | distance: 338 Cm | capacity: 7 %
--> [2023-08-03T10:29:00.359Z] opened in: 1 | distance: 338 Cm | capacity: 7 %
--> [2023-08-03T10:29:40.736Z] opened in: 1 | distance: 338 Cm | capacity: 7 %
--> [2023-08-03T10:30:31.104Z] opened in: 1 | distance: 338 Cm | capacity: 7 %
--> [2023-08-03T10:47:55.463Z] opened in: 1 | distance: 338 Cm | capacity: 7 %
--> [2023-08-03T10:48:45.948Z] opened in: 1 | distance: 338 Cm | capacity: 7 %
--> [2023-08-03T10:50:05.349Z] opened in: 1 | distance: 338 Cm | capacity: 7 %
--> [2023-08-03T10:56:45.971Z] opened in: 1 | distance: 338 Cm | capacity: 7 %
